label,area,centroid-0,centroid-1,centroid-2,mean_intensity
121,2959.0,38.231159175397096,226.16458262926665,168.32544778641432,149.8810408921933
122,2676.0,49.488041853512705,235.5840807174888,146.91741405082212,133.6965620328849
123,2282.0,53.282208588957054,360.1844872918493,217.70245398773005,106.55083260297984
124,2047.0,57.277967757694185,258.18172936003907,139.14118221787982,146.74694675134342
125,2549.0,63.33385641428011,251.50019615535504,163.63711259317378,125.27108670066693
126,2588.0,37.37480680061824,330.8319165378671,213.55680061823801,139.0030911901082
127,1058.0,44.19659735349716,179.59168241965975,409.10869565217394,101.1398865784499
128,3522.0,46.09057353776264,268.6692220329358,219.847245883021,117.52697331061897
129,3451.0,60.24398725007244,306.03361344537814,282.74326282237035,111.43697478991596
130,2766.0,52.991684743311644,359.56290672451195,135.35394070860448,94.12111352133044
131,2647.0,30.539100868908196,291.8080846241028,153.6263694748772,118.21496033245184
132,1739.0,37.66877515813686,147.21046578493386,408.728004600345,120.92926969522715
133,3309.0,45.96041100030221,196.74524025385313,306.6869144756724,118.72015714717438
134,1417.0,46.174311926605505,320.6436132674665,202.2561750176429,146.37614678899084
135,3025.0,50.23900826446281,317.18644628099173,297.3973553719008,119.72859504132231
136,1647.0,39.59805707346691,348.2768670309654,181.80145719489983,109.7103825136612
137,1807.0,56.4344216934145,282.5113447703376,167.51466519092418,124.94742667404537
138,1226.0,66.93719412724306,284.77977161500814,207.6084828711256,104.26508972267537
139,745.0,16.770469798657718,170.81073825503356,343.59060402684565,88.56912751677852
140,707.0,36.64356435643565,321.6676096181047,214.42008486562943,132.0891089108911
141,2040.0,43.59313725490196,319.30686274509804,247.49117647058824,119.27156862745097
142,1746.0,42.16265750286369,324.3487972508591,137.07846506300115,125.26746849942727
143,1882.0,53.92507970244421,267.7603613177471,139.67906482465463,145.0
144,2402.0,36.60657785179018,340.6902581182348,189.98376353039134,109.60324729392173
145,2434.0,42.887428101889896,202.29252259654888,319.7925225965489,135.17625308134757
146,2927.0,51.237444482405195,197.80696959344039,416.27844209087806,128.06320464639563
147,1054.0,56.1280834914611,334.40132827324476,176.2571157495256,90.54838709677419
148,2099.0,69.66841353025251,338.38256312529774,249.61314911862792,140.54311576941402
149,411.0,42.31386861313869,318.19221411192217,237.13868613138686,127.9683698296837
150,2509.0,50.94978078915903,341.8361897170187,194.3423674770825,99.56277401355122
151,1246.0,63.050561797752806,271.1653290529695,174.7263242375602,99.2271268057785
152,602.0,67.17109634551495,322.2840531561462,264.5847176079734,109.71428571428571
153,919.0,32.54189336235038,234.5538628944505,262.9412404787813,135.09793253536452
154,1899.0,43.858346498156926,279.160084254871,354.6292785676672,135.71879936808847
155,1275.0,49.71058823529412,330.9427450980392,190.13254901960784,93.3121568627451
156,543.0,58.04419889502763,310.2707182320442,200.25046040515653,89.69429097605894
157,1063.0,69.3170272812794,294.42709313264345,205.53998118532456,104.5587958607714
158,2061.0,25.64434740417273,285.9582726831635,175.44590004852014,128.09218825812712
159,985.0,31.304568527918782,184.46091370558375,340.32182741116753,104.57360406091371
160,513.0,31.132553606237817,282.27875243664715,156.26510721247564,112.53801169590643
161,570.0,35.80350877192983,333.7578947368421,189.0701754385965,108.38421052631578
162,647.0,46.05564142194745,357.46986089644514,185.46522411128285,100.36785162287481
163,614.0,48.36644951140065,333.5602605863192,145.63680781758958,108.93159609120521
164,1728.0,62.692708333333336,364.22685185185185,203.9380787037037,89.63425925925925
165,2642.0,65.06813020439061,275.42808478425434,184.29863739591218,93.61279333838002
166,2227.0,72.21014818140996,328.1055231252806,227.25909295015717,145.7651549169286
167,898.0,30.302895322939868,185.48997772828508,309.5746102449889,108.55233853006682
168,1165.0,35.01030042918455,271.6017167381974,334.3236051502146,88.7587982832618
169,1356.0,41.84365781710915,232.1098820058997,371.68289085545723,98.04572271386431
170,1155.0,61.96623376623376,346.13593073593074,181.62251082251083,115.35844155844156
171,936.0,25.947649572649574,283.75106837606836,164.64850427350427,122.85790598290598
172,243.0,54.415637860082306,328.843621399177,210.99588477366254,135.1604938271605
173,3139.0,58.75915896782415,301.9034724434533,319.8346607199745,91.99171710735904
174,2556.0,70.1697965571205,339.2136150234742,198.2417840375587,101.64475743348983
175,1370.0,38.27007299270073,165.65766423357664,317.75766423357663,93.32554744525548
176,1446.0,64.46680497925311,292.9923928077455,147.41424619640387,126.40110650069157
177,731.0,34.37482900136799,275.2831737346101,298.5485636114911,88.51846785225719
178,387.0,47.16279069767442,265.1343669250646,345.2377260981912,104.10852713178295
179,545.0,46.77981651376147,366.22935779816515,182.2165137614679,96.43669724770642
180,1243.0,54.72888173773129,342.9806918744972,249.22284794851166,97.20434432823814
181,410.0,68.68780487804878,289.8853658536585,198.21463414634147,91.79024390243903
182,274.0,46.38321167883212,371.8029197080292,171.44160583941607,88.15693430656934
183,551.0,48.14156079854809,318.2722323049002,309.32849364791286,114.17241379310344
184,507.0,56.65680473372781,344.5739644970414,240.5680473372781,112.66469428007889
185,741.0,59.44399460188934,370.19838056680163,194.7719298245614,78.12010796221323
186,646.0,65.80340557275542,288.8343653250774,154.52167182662538,126.06191950464397
187,620.0,64.4758064516129,348.03387096774196,172.90322580645162,106.13225806451612
188,241.0,66.48132780082987,317.7095435684647,188.29045643153526,80.28215767634855
189,214.0,69.11682242990655,331.8738317757009,192.92056074766356,112.5
190,551.0,63.33756805807622,356.2994555353902,181.0907441016334,104.78947368421052
