 ,Volume (µm^3),Surface (µm^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (µm),SD dist. to surf. (µm),Median dist. to surf. (µm),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
124,410.275,581.627,0,1006,418965,159,0,0,159,0,332.178,268.042,51.241,5.070,0,0,332.180,268.042,51.240,0,0,0,0,0,0
125,370.259,425.116,0,876,304384,128,0,0,128,0,220.042,268.693,47.003,4.193,0,0,220.042,268.693,47.003,0,0,0,0,0,0
126,161.930,262.614,0,438,141440,136,0,0,136,0,269.812,322.389,48.011,3.554,0,0,269.812,322.389,48.011,0,0,0,0,0,0
127,654.727,885.623,0,1562,538240,128,0,0,128,0,211.234,350.128,51.644,6.566,0,0,211.234,350.128,51.644,0,0,0,0,0,0
128,80.342,181.397,0,269,84624,164,0,0,164,0,170.593,357.550,51.370,3.218,0,0,170.593,357.550,51.370,0,0,0,0,0,0
129,266.562,449.573,0,760,277344,162,0,0,162,0,143.713,317.877,52.516,4.712,0,0,143.712,317.877,52.516,0,0,0,0,0,0
130,110.237,199.816,0,326,109740,155,0,0,155,0,328.314,196.994,51.160,3.318,0,0,328.315,196.994,51.160,0,0,0,0,0,0
131,326.974,371.358,0,697,308700,147,0,0,147,0,146.910,235.656,50.421,4.206,0,0,146.912,235.656,50.421,0,0,0,0,0,0
132,277.928,404.347,0,718,264180,148,0,0,148,0,329.279,255.335,51.249,4.345,0,0,329.277,255.335,51.249,0,0,0,0,0,0
133,375.553,436.707,0,851,359388,149,0,0,149,0,284.663,266.088,49.999,4.295,0,0,284.661,266.088,49.999,0,0,0,0,0,0
134,205.059,362.192,0,570,210720,160,0,0,160,0,141.516,304.790,53.040,4.153,0,0,141.516,304.790,53.040,0,0,0,0,0,0
135,105.566,198.383,0,331,103056,152,0,0,152,0,168.198,309.581,49.173,3.141,0,0,168.198,309.581,49.173,0,0,0,0,0,0
136,261.735,359.649,0,660,233659,139,0,0,139,0,417.721,196.451,53.224,4.036,0,0,417.722,196.451,53.224,0,0,0,0,0,0
137,128.610,226.892,0,404,126378,153,0,0,153,0,305.770,316.800,49.358,3.016,0,0,305.769,316.800,49.358,0,0,0,0,0,0
138,160.684,345.764,0,549,162024,157,0,0,157,0,168.048,330.629,53.677,4.811,0,0,168.048,330.629,53.677,0,0,0,0,0,0
139,687.580,653.407,0,1215,839040,190,0,0,190,0,244.411,372.707,54.758,5.453,0,0,244.414,372.708,54.758,0,0,0,0,0,0
140,196.184,310.954,0,523,225540,179,0,0,179,0,367.912,248.906,56.372,4.015,0,0,367.913,248.905,56.372,0,0,0,0,0,0
141,266.562,425.774,0,732,267072,156,0,0,156,0,295.603,317.692,51.599,4.188,0,0,295.605,317.692,51.599,0,0,0,0,0,0
142,285.402,522.540,0,882,289614,158,0,0,158,0,193.738,338.709,51.776,3.943,0,0,193.739,338.709,51.776,0,0,0,0,0,0
143,632.306,620.975,0,1159,698492,172,0,0,172,0,207.704,249.271,55.235,5.414,0,0,207.709,249.271,55.235,0,0,0,0,0,0
144,179.680,385.765,0,570,205412,178,0,0,178,0,137.284,359.558,53.919,4.104,0,0,137.284,359.558,53.919,0,0,0,0,0,0
145,493.108,545.593,0,954,544724,172,0,0,172,0,211.287,281.148,55.156,4.995,0,0,211.291,281.148,55.156,0,0,0,0,0,0
